,date,state,indians,foreigns,cured,deaths,confirmed
228,2020-03-20,12,3,0,0,0,3
229,2020-03-20,17,1,0,0,0,1
230,2020-03-20,2,16,1,5,1,17
231,2020-03-20,19,5,0,0,0,5
232,2020-03-20,5,3,14,0,0,17
233,2020-03-20,8,15,0,1,1,15
234,2020-03-20,0,26,2,3,0,28
235,2020-03-20,9,49,3,0,1,52
236,2020-03-20,14,2,0,0,0,2
237,2020-03-20,15,1,0,0,0,1
238,2020-03-20,10,2,0,0,1,2
239,2020-03-20,3,15,2,3,0,17
240,2020-03-20,7,3,0,1,0,3
241,2020-03-20,1,8,9,1,0,17
242,2020-03-20,18,1,0,0,0,1
243,2020-03-20,11,4,0,0,0,4
244,2020-03-20,6,10,0,0,0,10
245,2020-03-20,4,22,1,9,0,23
246,2020-03-20,13,3,0,0,0,3
247,2020-03-20,16,2,0,0,0,2
248,2020-03-21,12,3,0,0,0,3
249,2020-03-21,17,1,0,0,0,1
250,2020-03-21,2,25,1,5,1,26
251,2020-03-21,19,7,0,0,0,7
252,2020-03-21,5,3,14,0,0,17
253,2020-03-21,20,2,0,0,0,2
254,2020-03-21,8,15,0,1,1,15
255,2020-03-21,0,33,7,3,0,40
256,2020-03-21,21,4,0,0,0,4
257,2020-03-21,9,60,3,0,1,63
258,2020-03-21,14,2,0,0,0,2
259,2020-03-21,15,1,0,0,0,1
260,2020-03-21,10,13,0,0,1,13
261,2020-03-21,3,15,2,3,0,17
262,2020-03-21,7,3,0,1,0,3
263,2020-03-21,1,10,11,1,0,21
264,2020-03-21,18,1,0,0,0,1
265,2020-03-21,11,4,0,0,0,4
266,2020-03-21,6,13,0,0,0,13
267,2020-03-21,4,23,1,9,0,24
268,2020-03-21,13,3,0,0,0,3
269,2020-03-21,16,3,0,0,0,3
270,2020-03-22,12,5,0,0,0,5
271,2020-03-22,22,2,0,0,1,2
272,2020-03-22,17,1,0,0,0,1
273,2020-03-22,2,28,1,5,1,29
274,2020-03-22,19,18,0,0,1,18
275,2020-03-22,5,7,14,0,0,21
276,2020-03-22,20,2,0,0,0,2
277,2020-03-22,8,26,0,2,1,26
278,2020-03-22,0,45,7,3,0,52
279,2020-03-22,21,4,0,0,0,4
280,2020-03-22,9,64,3,0,2,67
281,2020-03-22,14,2,0,0,0,2
282,2020-03-22,15,1,0,0,0,1
283,2020-03-22,10,21,0,0,1,21
284,2020-03-22,3,22,2,3,0,24
285,2020-03-22,7,5,2,1,0,7
286,2020-03-22,1,11,11,1,0,22
287,2020-03-22,18,5,0,0,0,5
288,2020-03-22,11,4,0,0,0,4
289,2020-03-22,6,13,0,0,0,13
290,2020-03-22,4,26,1,9,0,27
291,2020-03-22,13,3,0,0,0,3
292,2020-03-22,16,4,0,0,0,4
293,2020-03-23,12,7,0,0,0,7
294,2020-03-23,22,2,0,0,1,2
295,2020-03-23,17,1,0,0,0,1
296,2020-03-23,2,28,1,5,1,29
297,2020-03-23,19,29,0,0,1,29
298,2020-03-23,5,12,14,0,0,26
299,2020-03-23,20,2,0,0,0,2
300,2020-03-23,8,33,0,2,1,33
301,2020-03-23,0,60,7,3,0,67
302,2020-03-23,21,6,0,0,0,6
303,2020-03-23,9,71,3,0,2,74
304,2020-03-23,14,2,0,0,0,2
305,2020-03-23,15,1,0,0,0,1
306,2020-03-23,10,21,0,0,1,21
307,2020-03-23,3,26,2,3,0,28
308,2020-03-23,7,7,2,1,0,9
309,2020-03-23,1,22,10,1,0,32
310,2020-03-23,18,6,0,0,0,6
311,2020-03-23,11,4,0,0,0,4
312,2020-03-23,6,13,0,0,0,13
313,2020-03-23,4,30,1,9,0,31
314,2020-03-23,13,3,0,0,0,3
315,2020-03-23,16,7,0,0,0,7
316,2020-03-24,12,8,0,0,0,8
317,2020-03-24,22,3,0,0,1,3
318,2020-03-24,17,1,0,0,0,1
319,2020-03-24,2,29,1,6,1,30
320,2020-03-24,19,32,1,0,1,33
321,2020-03-24,5,14,14,11,0,28
322,2020-03-24,20,3,0,0,1,3
323,2020-03-24,8,37,0,3,1,37
324,2020-03-24,0,87,8,4,0,95
325,2020-03-24,21,7,0,0,0,7
326,2020-03-24,9,86,3,0,2,89
327,2020-03-24,23,1,0,0,0,1
328,2020-03-24,14,2,0,0,0,2
329,2020-03-24,15,1,0,0,0,1
330,2020-03-24,10,29,0,0,1,29
331,2020-03-24,3,30,2,3,0,32
332,2020-03-24,7,13,2,1,0,15
333,2020-03-24,1,25,10,1,0,35
334,2020-03-24,18,7,0,0,0,7
335,2020-03-24,11,4,0,0,0,4
336,2020-03-24,6,13,0,0,0,13
337,2020-03-24,4,32,1,11,0,33
338,2020-03-24,13,3,1,0,0,4
339,2020-03-24,16,9,0,0,1,9
340,2020-03-25,12,9,0,1,0,9
341,2020-03-25,22,4,0,0,1,4
342,2020-03-25,17,1,0,0,0,1
343,2020-03-25,2,30,1,6,1,31
344,2020-03-25,19,37,1,0,1,38
345,2020-03-25,5,14,14,11,0,28
346,2020-03-25,20,3,0,0,1,3
347,2020-03-25,8,41,0,3,1,41
348,2020-03-25,0,101,8,4,0,109
349,2020-03-25,21,14,0,0,0,14
350,2020-03-25,9,125,3,1,3,128
351,2020-03-25,23,1,0,0,0,1
352,2020-03-25,24,1,0,0,0,1
353,2020-03-25,14,2,0,0,0,2
354,2020-03-25,15,1,0,0,0,1
355,2020-03-25,10,29,0,0,1,29
356,2020-03-25,3,34,2,3,0,36
357,2020-03-25,7,16,2,1,0,18
358,2020-03-25,1,25,10,1,0,35
359,2020-03-25,18,7,0,0,0,7
360,2020-03-25,11,7,0,1,0,7
361,2020-03-25,6,13,0,0,0,13
362,2020-03-25,4,36,1,11,0,37
363,2020-03-25,13,3,1,0,0,4
364,2020-03-25,16,9,0,0,1,9
365,2020-03-26,25,1,0,0,0,1
366,2020-03-26,12,11,0,1,0,11
367,2020-03-26,22,6,0,0,1,6
368,2020-03-26,18,7,0,0,0,7
369,2020-03-26,17,6,0,0,0,6
370,2020-03-26,2,35,1,6,1,36
371,2020-03-26,26,3,0,0,0,3
372,2020-03-26,19,42,1,0,3,43
373,2020-03-26,5,16,14,11,0,30
374,2020-03-26,20,3,0,0,1,3
375,2020-03-26,11,13,0,1,0,13
376,2020-03-26,8,55,0,3,2,55
377,2020-03-26,0,110,8,6,0,118
378,2020-03-26,6,13,0,0,0,13
379,2020-03-26,21,20,0,0,1,20
380,2020-03-26,9,121,3,1,3,124
381,2020-03-26,23,1,0,0,0,1
382,2020-03-26,24,1,0,0,0,1
383,2020-03-26,14,2,0,0,0,2
384,2020-03-26,15,1,0,0,0,1
385,2020-03-26,10,33,0,0,1,33
386,2020-03-26,3,39,2,3,0,41
387,2020-03-26,7,20,6,1,1,26
388,2020-03-26,1,34,10,1,0,44
389,2020-03-26,13,4,1,0,0,5
390,2020-03-26,4,40,1,11,0,41
391,2020-03-26,16,10,0,0,1,10
392,2020-03-27,25,1,0,0,0,1
393,2020-03-27,12,12,0,1,0,12
394,2020-03-27,22,6,0,0,1,6
395,2020-03-27,18,7,0,0,0,7
396,2020-03-27,17,6,0,0,0,6
397,2020-03-27,2,35,1,6,1,36
398,2020-03-27,26,3,0,0,0,3
399,2020-03-27,19,42,1,0,3,43
400,2020-03-27,5,16,14,11,0,30
401,2020-03-27,20,3,0,0,1,3
402,2020-03-27,11,13,0,1,1,13
403,2020-03-27,8,55,0,3,2,55
404,2020-03-27,0,129,8,11,0,137
405,2020-03-27,6,13,0,3,0,13
406,2020-03-27,21,20,0,0,1,20
407,2020-03-27,9,127,3,15,4,130
408,2020-03-27,23,1,0,0,0,1
409,2020-03-27,24,1,0,0,0,1
410,2020-03-27,14,2,0,0,0,2
411,2020-03-27,15,1,0,0,0,1
412,2020-03-27,10,33,0,0,1,33
413,2020-03-27,3,39,2,3,0,41
414,2020-03-27,7,23,6,1,1,29
415,2020-03-27,1,35,10,1,0,45
416,2020-03-27,13,4,1,0,0,5
417,2020-03-27,4,40,1,11,0,41
418,2020-03-27,16,10,0,0,1,10
419,2020-03-28,12,14,0,1,0,14
420,2020-03-28,25,6,0,0,0,6
421,2020-03-28,22,9,0,0,1,9
422,2020-03-28,18,8,0,0,0,8
423,2020-03-28,17,6,0,0,0,6
424,2020-03-28,2,38,1,6,1,39
425,2020-03-28,26,3,0,0,0,3
426,2020-03-28,19,44,1,0,3,45
427,2020-03-28,5,19,14,12,0,33
428,2020-03-28,20,3,0,0,1,3
429,2020-03-28,11,20,0,1,1,20
430,2020-03-28,8,55,0,3,2,55
431,2020-03-28,0,168,8,11,0,176
432,2020-03-28,6,13,0,3,0,13
433,2020-03-28,21,30,0,0,2,30
434,2020-03-28,9,177,3,25,5,180
435,2020-03-28,23,1,0,0,0,1
436,2020-03-28,24,1,0,0,0,1
437,2020-03-28,14,3,0,0,0,3
438,2020-03-28,15,1,0,0,0,1
439,2020-03-28,10,38,0,1,1,38
440,2020-03-28,3,52,2,3,0,54
441,2020-03-28,7,34,6,2,1,40
442,2020-03-28,1,46,10,1,0,56
443,2020-03-28,13,4,1,0,0,5
444,2020-03-28,4,54,1,11,0,55
445,2020-03-28,16,15,0,0,1,15
446,2020-03-29,12,,,1,0,19
447,2020-03-29,25,,,0,0,9
448,2020-03-29,22,,,0,1,11
449,2020-03-29,18,,,0,0,8
450,2020-03-29,17,,,0,0,7
451,2020-03-29,2,,,6,2,49
452,2020-03-29,26,,,0,0,5
453,2020-03-29,19,,,1,5,58
454,2020-03-29,5,,,17,0,33
455,2020-03-29,20,,,0,1,3
456,2020-03-29,11,,,1,2,31
457,2020-03-29,8,,,5,3,76
458,2020-03-29,0,,,15,1,182
459,2020-03-29,6,,,3,0,13
460,2020-03-29,21,,,0,2,30
461,2020-03-29,9,,,25,6,186
462,2020-03-29,23,,,0,0,1
463,2020-03-29,24,,,0,0,1
464,2020-03-29,14,,,0,0,3
465,2020-03-29,15,,,0,0,1
466,2020-03-29,10,,,1,1,38
467,2020-03-29,3,,,3,0,55
468,2020-03-29,7,,,4,1,49
469,2020-03-29,1,,,1,1,66
470,2020-03-29,13,,,2,0,7
471,2020-03-29,4,,,11,0,65
472,2020-03-29,16,,,0,1,18
473,2020-03-30,12,,,1,0,23
474,2020-03-30,25,,,0,0,9
475,2020-03-30,22,,,0,1,15
476,2020-03-30,18,,,0,0,8
477,2020-03-30,17,,,0,0,7
478,2020-03-30,2,,,6,2,87
479,2020-03-30,26,,,0,0,5
480,2020-03-30,19,,,1,6,69
481,2020-03-30,5,,,18,0,36
482,2020-03-30,20,,,0,1,3
483,2020-03-30,11,,,2,2,48
484,2020-03-30,8,,,5,3,83
485,2020-03-30,0,,,19,1,202
486,2020-03-30,6,,,3,0,13
487,2020-03-30,21,,,0,3,47
488,2020-03-30,9,,,25,8,198
489,2020-03-30,23,,,0,0,1
490,2020-03-30,24,,,0,0,1
491,2020-03-30,14,,,0,0,3
492,2020-03-30,15,,,0,0,1
493,2020-03-30,10,,,1,1,38
494,2020-03-30,3,,,3,0,59
495,2020-03-30,7,,,4,1,67
496,2020-03-30,1,,,1,1,71
497,2020-03-30,13,,,2,0,7
498,2020-03-30,4,,,11,0,82
499,2020-03-30,16,,,0,1,22
500,2020-03-30,27,,,0,0,46
501,2020-03-31,12,,,1,0,40
502,2020-03-31,25,,,0,0,10
503,2020-03-31,22,,,0,1,15
504,2020-03-31,18,,,0,0,13
505,2020-03-31,17,,,0,0,8
506,2020-03-31,2,,,6,2,97
507,2020-03-31,26,,,0,0,5
508,2020-03-31,19,,,3,6,73
509,2020-03-31,5,,,21,0,40
510,2020-03-31,20,,,0,1,3
511,2020-03-31,11,,,2,2,54
512,2020-03-31,8,,,5,3,83
513,2020-03-31,0,,,19,1,234
514,2020-03-31,6,,,3,0,13
515,2020-03-31,21,,,0,3,47
516,2020-03-31,9,,,39,9,216
517,2020-03-31,23,,,0,0,1
518,2020-03-31,24,,,0,0,1
519,2020-03-31,14,,,0,0,3
520,2020-03-31,15,,,0,0,1
521,2020-03-31,10,,,1,3,41
522,2020-03-31,3,,,3,0,74
523,2020-03-31,7,,,4,1,74
524,2020-03-31,1,,,1,1,79
525,2020-03-31,13,,,2,0,7
526,2020-03-31,4,,,14,0,101
527,2020-03-31,16,,,0,2,26
528,2020-03-31,27,,,0,0,38
529,2020-04-01,12,,,1,0,83
530,2020-04-01,25,,,0,0,10
531,2020-04-01,28,,,0,0,1
532,2020-04-01,22,,,0,1,23
533,2020-04-01,18,,,0,0,16
534,2020-04-01,17,,,2,0,9
535,2020-04-01,2,,,6,2,152
536,2020-04-01,26,,,0,0,5
537,2020-04-01,19,,,5,6,82
538,2020-04-01,5,,,21,0,43
539,2020-04-01,20,,,0,1,3
540,2020-04-01,11,,,2,2,62
541,2020-04-01,29,,,0,0,1
542,2020-04-01,8,,,8,3,101
543,2020-04-01,0,,,23,2,241
544,2020-04-01,6,,,3,0,13
545,2020-04-01,21,,,0,3,66
546,2020-04-01,9,,,39,9,302
